name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
Fab Lab Afghanistan,,Jalalabad,Nangarhar,,34.434468899999999,70.448505200000000,Islamic State of Afghanistan,"34124811","2017","2016",7. Least developed region,5. Low income,Asia,Asia,Southern Asia,
�chofab,http://fablabs.io.s3.amazonaws.com/2019/05/01/01/40/17/bab71a16-a53d-4b98-a2f7-35ac2fd5bf98/echofab_2019_04_10.jpg,Montr�al,Qu�bec,H2N1A4,45.544562800000001,-73.656084699999994,Canada,"35623680","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Century Community and Technical College,,White Bear Lake,Minnesota,"55110",45.084688499999999,-93.009939799999998,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fab Lab Makers Modena,http://fablabs.io.s3.amazonaws.com/2017/05/25/15/31/11/a7d81da5-836f-4d5b-b154-01c93536b3d8/IMG_7093.jpg,Modena,,"41122",44.654829800000002,10.933868300000000,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Valley Middle School of STEM FAB LAB,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/12/b622102e-2782-4da9-9699-d9904018060b/Valley Middle School of STEM FAB LAB.jpg,Apple Valley,Minnesota,"55124",44.726920000000000,-93.239738399999993,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Techlab Chieri,,Chieri,,"10023",45.014998200000001,7.819246300000030,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
FabLab Castelo Branco,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/13/de0ba373-c824-4e72-a170-f8eb9c00ab35/FabLab Castelo Branco.jpg,Castelo Branco,Castelo Branco,6000-767,39.814594205679398,-7.507162849551380,Portuguese Republic,"10839514","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fablab Ural v2.0,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/16/e8b47f51-9590-45dd-b3a7-a4af9aaa7c41/Fablab Ural v2.0.jpg,????????????,,"620034",56.849542000000000,60.577461999999997,Russian Federation,"142257519","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Europe,Europe,Eastern Europe,./0.png
Fab Lab ULL,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/18/87c961c2-cf7b-4da0-8ffe-bf45cd7e7d25/FabLab ULL.jpg,San Crist�bal de La Laguna,Santa cruz de Tenerife,"38320",28.464649999999999,-16.298890000000000,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fab Lab Suwon,,"Yeongtong-gu, Suwon-si",Gyeonggi-do,"16705",37.251397200000000,127.078024900000003,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
Fab Lab Daejeon,http://fablabs.io.s3.amazonaws.com/2020/05/11/01/03/46/c5515d7a-5c78-4c0a-9526-4576f94fdce8/IMG_20200226_095159.jpg,Seo-gu,Daejeon,"35224",36.355539000000000,127.367751600000005,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
FabLab@school - Palermo,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/23/9fe41918-f1ea-4534-95ed-218f8d09a1e0/FabLab@school - Palermo.jpg,Palermo,Palermo,"90143",38.134888699999998,13.354319900000100,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Full Sail Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/29/a1c4138e-bea4-4062-9c5c-bf0f7562a549/Full Sail Fab Lab.jpg,Winter Park,,"32792",28.592854077523601,-81.303739859277385,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Metropolitan Community College Tech Center-FabLab,,Kansas City,Missouri,"64106",39.099726500000003,-94.578566699999996,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
FabLab Busan_Route,http://fablabs.io.s3.amazonaws.com/2021/06/21/04/35/54/efc08ae6-a909-44be-93c5-a5460327ce0d/[????]????.jpg,,,"47246",35.117136000000002,129.088076800000010,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
FabLab du Mus�e de l'ing�niosit� J.Armand Bombardier,,Valcourt,Quebec,J0E 2L0,45.494766900000002,-72.310529099999997,Canada,"35623680","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
FuvLab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/35/efbfbbd0-76f5-43ff-baa8-897956c5197f/FuvLab.jpg,Gr�asque,,"13850",43.433727099999999,5.540448599999990,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Officine080,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/43/ef262348-ec90-4a78-bede-20000673830f/Officine080.jpg,Monopoli,,"70043",40.952087300000002,17.301730100000000,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
RuTech FabLab MJC Rodez,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/44/0d983ec1-0e9c-4c7b-941e-157a4b44e269/RuTech FabLab MJC Rodez.jpg,Rodez,,"12000",44.353231899999997,2.578284299999950,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Fablab Bandung,http://fablabs.io.s3.amazonaws.com/2017/03/09/07/45/17/788e5437-3690-46c1-a8aa-b9fdf77f4cfe/11.jpg,Bandung,West Java,"40232",-6.931441200000000,107.596733200000003,Republic of Indonesia,"260580739","2017","2016",4. Emerging region: MIKT,4. Lower middle income,Asia,Asia,South-Eastern Asia,
SMARTiLab,,Rabat,,,33.962706099999998,-6.837378199999990,Kingdom of Morocco,"33986655","2017","2016",6. Developing region,4. Lower middle income,Africa,Africa,Northern Africa,
Fablab ABQ,,Albuquerque,New Mexico,"87107",35.110703000000001,-106.609990999999994,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fablab Wuhan,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/48/1ca33d2b-b5b3-4a3f-bfd9-37c559368ae4/Fablab Wuhan.jpg,??,HuBei,"430223",30.444981455470600,114.395775304230000,People's Republic of China,"1379302771","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,
Bitterroot FabLab,,Hamilton,MT,"59840",46.246083900000002,-114.168048799999994,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
FabLab Neuenstadt,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/50/72508f55-1ba1-47c4-9c06-2b594c6db320/FabLab Neuenstadt.jpg,Neuenstadt am Kocher,Baden-W�rttemberg,"74196",49.237182400000002,9.336119900000000,Federal Republic of Germany,"80594017","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
The Making Rooms,,Blackburn,Lancashire,BB1 7JN,53.748893099999997,-2.482776800000010,United Kingdom of Great Britain and Northern Ireland,"64769452","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,./0.png
FABLAB TECHPARK ZUGDIDI,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/51/1eb93001-5f5e-4300-8031-c632e5a4a01d/FABLAB TECHPARK ZUGDIDI.jpg,Zugdidi,,,42.514093400000000,41.879500199999903,Georgia,"4926330","2017","2016",6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,
Nic�phore Labs,,Chalon-sur-Sa�ne,Burgundy,"71100",46.776413300000002,4.846668300000030,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
MILL - Makers In Little Lisbon,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/53/3f901490-e4ad-4153-8b99-569203299421/MILL - Makers In Little Lisbon.jpg,Lisboa,,1150-236,38.720410299999998,-9.141118900000000,Portuguese Republic,"10839514","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
IOX LAB,,D�sseldorf,NRW,"40221",51.215548900000002,6.750755799999980,Federal Republic of Germany,"80594017","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FFL Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/13/47/35/ec316dbe-e17c-4e93-ae2f-a66396ab6db1/FFL Fab Lab.jpg,Fayetteville,New York,"13066",43.029777000000003,-76.004447999999996,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fab Lab Camassary,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/58/559ccd1c-1304-41a5-ad95-53fd81a61826/Cama�ari Fablab.jpg,Cama�ari,Bahia,"42802500",-12.694714100000001,-38.295363999999999,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Fablab Agrigento,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/47/59/3bacbc48-e688-49c2-99fa-38cb6c992be9/Fablab Agrigento.jpg,Agrigento,Agrigento,"92100",37.313227900000001,13.579193500000001,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fablab TAF,,,,"106",25.039406400000001,121.539869300000007,People's Republic of China,"1379302771","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,
Fablab NTUT,,???,,"106",25.042181172799701,121.537803024883999,People's Republic of China,"1379302771","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,
Smarteducationlab fablab Lecce,,Lecce,,"73100",40.336176199999997,18.122012600000101,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Usina Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/04/2dc94a49-7bed-49d6-85be-3819f3abcaf8/Usina Fab Lab.jpg,Porto Alegre,Rio Grande do Sul,"90420000",-30.032103400000000,-51.202684099999999,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Karakeeb Makerspace,,Alexandria,Alexandria,"21523",31.223534600000001,29.938193200000001,Arab Republic of Egypt,"97041072","2017","2016",5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,
Marymount School Fab Lab,,New York,New York,"10029",40.786552999999998,-73.951068000000006,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
STEAM Works Laboratories,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/15/e449c6a3-4085-41af-aa27-b149e2dee8d4/STEAM Works Laboratories.jpg,Dayton,OHIO,"45402",39.754539000000001,-84.189015999999995,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Pyrenees Research Laboratory,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/17/0a617475-a689-43ea-9999-83a22c908773/Pyrenees Research Laboratory.jpg,Caldes de Bo�,Lleida,"25528",42.577475499999998,0.852354500000047,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Bulldog Makerspace FabLab,,Huntsville,,"35810",34.785057999999999,-86.573283000000004,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
FabLab by Mines Douai,,Douai,France,"59500",50.367874000000000,3.080602000000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Fablab Perugia,http://fablabs.io.s3.amazonaws.com/2018/11/08/08/46/53/7c4de061-d227-431c-a0eb-4461a2a92b3c/Schermata 2018-11-07 alle 12.41.11.jpg,Perugia,Umbria,,43.075247500000003,12.326459800000100,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
La Fabrique Amanlis,http://fablabs.io.s3.amazonaws.com/2022/01/05/10/24/00/3b3c425e-064b-4c69-b8f9-50f5b27a650c/La-Fabrique-Amanlis.png,AMANLIS,,"35150",48.003360299999997,-1.475060700000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Me�k?n? laboratorija [Raccoons Lab] | FabLab,http://fablabs.io.s3.amazonaws.com/2018/03/01/19/30/07/1302c18a-10a7-43a6-b85d-25cec3aebce9/fedora.jpg,Vilnius,,"10309",54.695298600000001,25.308759800000001,Republic of Lithuania,"2823859","2017","2016",2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Northern Europe,./0.png
La Charbonnerie,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/38/41dd980a-71e6-44fa-8523-6ef1afbcc846/La Charbonnerie.jpg,Marseille,,"13002",43.298957299999998,5.366231700000070,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab Impresa Belluno - Consorzio Cultura Concept,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/40/09e3b64d-ff10-49f3-b7cf-a42304c53ac6/FabLab Impresa Belluno - Fa'BLhub Concept.jpg,Gresal,Belluno,"32036",46.109621900000000,12.110608200000000,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Sustainable South Bronx,,Bronx,New York,"10462",40.850000000000001,-73.866667000000007,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fab Lab Brossard,http://fablabs.io.s3.amazonaws.com/2017/02/17/17/21/35/10bb78bf-2a00-4f3e-a0c7-03d3652f6d2e/fab.png,Brossard,Quebec,J4X 2A4,45.454994399999997,-73.468071800000004,Canada,"35623680","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
FabLab Temara,http://fablabs.io.s3.amazonaws.com/2021/05/14/23/10/51/8a6a85a4-f5d0-4298-9db6-4455284e176f/closed.png,T�mara,,"12010",33.914695399999999,-6.915602799999990,Kingdom of Morocco,"33986655","2017","2016",6. Developing region,4. Lower middle income,Africa,Africa,Northern Africa,
Proto204 - SmallLab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/44/50a96260-0d26-4ffa-8039-ad37cfa2aac0/Proto204 - SmallLab.jpg,Bures-sur-Yvette,,"91440",48.699263400000000,2.172440700000040,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab MinatoMirai - Kanagawa University,http://fablabs.io.s3.amazonaws.com/2021/04/06/10/39/59/24573374-02b3-4386-99b8-8b075b605fa9/IMG_0221 2.jpeg,???,????,220-0012,35.345078600000001,139.260304600000012,Japan,"126451398","2017","2016",1. Developed region: G7,1. High income: OECD,Asia,Asia,Eastern Asia,
FabLab Tehran,http://fablabs.io.s3.amazonaws.com/2017/04/04/05/28/46/a6d55026-0d8e-4874-95c2-e3f06b737d70/photo_2017-03-27_15-07-00.jpg,Tehran,Tehran,"1657167318",35.730531399999997,51.825278500000003,Islamic Republic of Iran,"82021564","2017","2016",5. Emerging region: G20,3. Upper middle income,Asia,Asia,Southern Asia,
PoPlab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/50/66d18095-a14a-470b-8ec8-729c5fc1cef4/PoPlab.jpg,Rovigo,,"45100",45.069811799999997,11.790215799999901,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fablab Caldas da Rainha,http://fablabs.io.s3.amazonaws.com/2018/05/21/23/01/54/1c8b6363-c14e-40e3-8eed-a107e4a14bfa/Screen Shot 2017-05-23 at 10.53.15.png,Caldas da Rainha,Caldas da Rainha,2500-209,39.398903199999999,-9.134401199999960,Portuguese Republic,"10839514","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
FabLab 10Th City,,"?????? ?? ????? ?????? 26, Th Of Ramadan City,",Egypt,,30.280557800000000,31.760290099999999,Arab Republic of Egypt,"97041072","2017","2016",5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,
GTU,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/56/9f95ad8f-4374-4e69-8a7f-77ca9bac03c1/GTU.jpg,Tbilisi,,"0171",41.716415099999999,44.777270700000003,Georgia,"4926330","2017","2016",6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,
Muskogee Public Schools Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/10/05/14/07/57/efb3e731-83e9-489e-9e61-d8382ab7e4a4/13173299_1703646366551900_8737047484709811618_o.jpg,Muskogee,Oklahoma,"74403",35.771618500000002,-95.329731600000002,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
"Mobile Fab Lab, Fab Labs Carolinas",,Durham,North Carolina,"27701",35.994032900000001,-78.898618999999997,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
fablabljubljana,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/48/57/8602ab79-69f6-470e-95ab-d4a826d24d87/fablabljubljana.jpg,Ljubljana,,"1000",46.048774700000003,14.493406000000000,Republic of Slovenia,"1972126","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Ideation Station,http://fablabs.io.s3.amazonaws.com/2018/07/16/16/55/03/4a60081c-eff4-4556-8567-2c28ae2523b3/16-0366-WCED-Ideation-Station-Logo.jpg,Cleveland,Ohio,"44115",41.492758299999998,-81.671820199999999,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fabricator,http://fablabs.io.s3.amazonaws.com/2018/11/14/17/32/38/de913179-5908-480c-888f-12a0ab08d648/41403514_1454780167998739_3295321633610268672_n.jpg,Kyiv,Ukraine,,50.469870499999999,30.462102300000002,Ukraine,"44033874","2017","2016",6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,./0.png
MadLab (Manchester),http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/07/0c42326e-84bb-4b04-910a-39d006c30f8f/MadLab (Manchester).jpg,Manchester,,M4 1HN,53.484158000000001,-2.236453600000000,United Kingdom of Great Britain and Northern Ireland,"64769452","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,./0.png
Fab Lab Yucat�n,http://fablabs.io.s3.amazonaws.com/2018/06/12/16/41/09/4d5e56f9-ee17-429b-99b3-01a6f148ce97/entrada hub.jpg,M�rida,YUCATAN,"97139",21.001523700000000,-89.623943400000002,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
LAB' HAUT COMTOIS,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/11/ebfff7c5-47b0-4d88-8a58-b80e1153cb31/LAB' HAUT COMTOIS.jpg,Saint-Loup-sur-Semouse,,"70800",47.886173599999999,6.272287300000020,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Sinclair Community College Fab Lab,,Dayton,Ohio,"45402",39.758947800000001,-84.191606899999996,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
"FABLAB Bicol, Legazpi City Philippines","http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/14/9ead07fa-bc92-4443-9729-d0dfe77180b5/FABLAB Bicol, Legazpi City Philippines.jpg",Legazpi City,Albay,"4500",13.147044217893200,123.729122452270985,Republic of the Philippines,"104256076","2017","2016",5. Emerging region: G20,4. Lower middle income,Asia,Asia,South-Eastern Asia,
R&DTECHFRANCE,,Saint-Jacques-de-la-Lande,,"35136",48.065501599999997,-1.704548299999940,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Apple Valley Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/17/2bdbc5ee-5c6c-45cf-be2d-964bd8adb071/Apple Valley Fab Lab .jpg,Apple Valley,MN,"55124",44.742773999999997,-93.230399000000006,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Soko Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/19/6d05769d-79c4-40e0-a454-b87a40fb4e52/Soko Lab.jpg,Barcelona,Barcelona,"08027",41.424350099999998,2.188874199999990,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Loudlab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/22/23288d38-2724-41c1-9560-a39e2efe0403/Loudlab.jpg,Sacile,Pordenone,"33077",45.950541200000004,12.505001200000001,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
SKAP Fab Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/29/522e2bfe-abd7-4682-98a0-461306ab64c8/SKAP Fab Lab.jpg,MANDAL,,"4515",58.026933600000000,7.448252300000040,Kingdom of Norway,"5320045","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,./0.png
OpenLandLAB,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/31/3ae8e560-09c4-4feb-8d29-cca0a242458e/OpenLandLAB.jpg,Kirchfidisch,,"7512",47.162192800000000,16.347166900000001,Republic of Austria,"8754413","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
CREATE+BUILD,,San Francisco,CA,"94132",37.713284999999999,-122.475599000000003,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fablab Taoyuan,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/32/8ecba4fb-a835-436a-a0d3-5c037b33becd/Fablab Taoyuan.jpg,Taoyuan City,,,24.965735599999999,121.225879699999993,People's Republic of China,"1379302771","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,
MC2STEM High School,,East Cleveland,Ohio,"44112",41.540642900000002,-81.559169199999999,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fablab UTMN,http://fablabs.io.s3.amazonaws.com/2018/10/16/08/32/53/5e10088c-6526-4506-8804-dabf05d9eca7/OTWMhXc3Bxo.jpg,??????,,"625003",57.158357000000002,65.527771999999999,Russian Federation,"142257519","2017","2016",3. Emerging region: BRIC,3. Upper middle income,Europe,Europe,Eastern Europe,./0.png
Bay Area Discovery Museum,,Sausalito,CA,"94965",37.835591000000001,-122.476400600000005,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Maker's Edge makerspace,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/35/16316cf6-8adf-408a-b78d-ecd64fad4e27/Maker's Edge makerspace.jpg,Waco,TX,"76701",31.545978999999999,-97.143743999999998,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
SquaregoLab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/39/b524a3d5-a93d-4865-9f74-9bfa24607d8f/SquaregoLab.jpg,Perpignan,,"66000",42.720075899999998,2.887115099999960,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
LAB LAB TANGER,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/42/3647a8ad-c235-44e4-b2ec-9814decb8362/LAB LAB TANGER.jpg,Tangeri,Tangeri-T�touan,"90000",35.262955800000000,-5.561727900000050,Kingdom of Morocco,"33986655","2017","2016",6. Developing region,4. Lower middle income,Africa,Africa,Northern Africa,
Lab Top Innovation,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/43/5242e37e-a5a5-496b-8bd0-b88a48eb8966/Lab Top Innovation.jpg,Maz�res-sur-Salat,,"31260",43.132670800000000,0.973469399999999,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
la FABrique du Loch,,Auray,,"56400",47.668395300000000,-2.986010800000030,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Creative Lab,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/46/ea3246e8-c9ca-4502-96a8-be8cc4bee257/Creative Lab.jpg,Guyancourt,IDF,"78280",48.760371599999999,2.085371600000030,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab Daegu,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/50/2905f444-d533-463a-aa4a-52752dc5286e/FabLab Daegu.jpg,Jung-gu,Daegu,,35.871882200000002,128.597457800000001,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
Lorain County Community College,,Elyria,Ohio,"44035",41.410785099999998,-82.071015599999996,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fab Lab HAEUNDAE,,Haeundae-gu,Busan,,35.159083207456398,129.162008593639996,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
Buinho Fablab,http://fablabs.io.s3.amazonaws.com/2019/12/14/19/17/41/ce2ccc28-293a-430b-b98b-4d0e321b58a0/buinho-2_for web.jpg,Messejana,Aljustrel,"7600",37.831142700000001,-8.245477299999999,Portuguese Republic,"10839514","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Edgewood Middle School Fab Lab,,Mounds View,MN,"55112",45.105741100000003,-93.203814399999999,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
fablab Ugent,,Zwijnaarde,Oost-Vlaanderen,"9052",51.011904476827702,3.705826661346460,Kingdom of Belgium,"11491346","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Lab Maker Mocorongo,http://fablabs.io.s3.amazonaws.com/2017/01/28/14/49/58/2608a72f-c94f-4e3c-b989-fdaef89deb37/Lab Maker Mocorongo.jpg,Santar�m,Par�,68040-050,-2.427944500000000,-54.737249200000001,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Crunchlab,http://fablabs.io.s3.amazonaws.com/2017/02/22/21/12/04/5d337eb4-3793-4869-924e-3d69ecbac469/Z.jpg,San Don� di Piave,Venezia,"30027",45.635644999999997,12.547352300000099,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fab Lab UAI,,Santiago,Santiago Metropolitan Region,"7941169",-33.487379799999999,-70.514557499999995,Republic of Chile,"17789267","2017","2016",5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,
