name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
Fablab Jundia�,http://fablabs.io.s3.amazonaws.com/2019/11/26/21/44/54/3ddc7c8f-0832-4c1f-9d32-34234674f50c/WhatsApp Image 2019-04-08 at 13.13.45.jpeg,Jundia�,S�o paulo,13201-003,-23.192315000000001,-46.876385900000002,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
FabLab Sarajevo,,Sarajevo,KS,"71000",43.856807500000002,18.395775000000000,Bosnia and Herzegovina,"3856181","2017","2016",6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,./0.png
Fab Lab Escola SESI - Campinas,http://fablabs.io.s3.amazonaws.com/2019/11/27/17/11/17/c742696c-d13d-4324-a520-04d3d134eaf2/IMG_20191024_170509014.jpg,Campinas,S�o Paulo,13036-225,-22.915064999999998,-47.068139000000002,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Fab Lab Paso del Norte,http://fablabs.io.s3.amazonaws.com/2020/05/22/00/12/52/0820c1fb-41c6-402c-957d-a60bd00c3f81/WhatsApp Image 2019-11-26 at 9.45.18 AM (1).jpeg,Juarez,Chihuahua,"32575",31.598313999999998,-106.362436900000006,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
Fab Lab Selfoss,,Selfoss,Iceland,"800",63.932178000000000,-20.997546999999901,Republic of Iceland,"339747","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,./0.png
Fab Lab Escola SESI - Indaiatuba SP,,Indaiatuba,S�o Paulo,13346-000,-23.114586599999999,-47.220742600000001,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Fab Lab Escola SESI - Itu SP,http://fablabs.io.s3.amazonaws.com/2021/12/23/10/30/26/73ae4dbe-3dd3-4c6c-9732-5ab83d690670/Fab Itu.jpg,Itu,S�o Paulo,13304-080,-23.275022199999999,-47.284010299999998,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
FabLab Robert-Houdin,http://fablabs.io.s3.amazonaws.com/2017/01/28/13/48/57/e2f9f15e-7686-42ac-a3d5-834a9e713fe5/FabLab Robert-Houdin.jpg,Blois,,"41000",47.587943600000003,1.336287900000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Hall32,,Clermont-Ferrand,,"63100",45.791093699999998,3.105011800000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Fablab Thomas Jefferson Santa Monica,http://fablabs.io.s3.amazonaws.com/2019/12/05/18/39/09/c97f0b26-8b0a-4863-b9ca-ae20e1461f18/WhatsApp Image 2019-12-05 at 12.33.53.jpeg,Tlalnepantla de Baz,Mexico,"54050",19.525687999999999,-99.231150999999997,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
